run,fold,test_bases,n_train_samples,n_test_samples,n_features_common_train,n_features_after_nan_train
D_incremental_I_,0,[0],45026,4250,4,4
D_incremental_I_,1,[1],45074,4202,4,4
D_incremental_I_,2,[2],45069,4207,4,4
D_incremental_I_,3,[3],45008,4268,4,4
D_incremental_I_,4,[4],45273,4003,4,4
D_incremental_I_,5,[5],45034,4242,4,4
D_incremental_I_,6,[6],45230,4046,4,4
D_incremental_I_,7,[7],45031,4245,4,4
D_incremental_I_,8,[8],45601,3675,4,4
D_incremental_I_,9,[9],45572,3704,4,4
D_incremental_I_,10,[10],45075,4201,4,4
D_incremental_I_,11,[11],45043,4233,4,4
D_incremental_I_,0,[0],45026,4250,4,4
D_incremental_I_,1,[1],45074,4202,4,4
D_incremental_I_,2,[2],45069,4207,4,4
D_incremental_I_,3,[3],45008,4268,4,4
D_incremental_I_,4,[4],45273,4003,4,4
D_incremental_I_,5,[5],45034,4242,4,4
D_incremental_I_,6,[6],45230,4046,4,4
D_incremental_I_,7,[7],45031,4245,4,4
D_incremental_I_,8,[8],45601,3675,4,4
D_incremental_I_,9,[9],45572,3704,4,4
D_incremental_I_,10,[10],45075,4201,4,4
D_incremental_I_,11,[11],45043,4233,4,4
