run,fold,test_bases,n_train_samples,n_test_samples,n_features_common_train,n_features_after_nan_train
I_gradual_I_,0,[0],39373,3599,96,96
I_gradual_I_,1,[1],39481,3491,96,96
I_gradual_I_,2,[2],39361,3611,96,96
I_gradual_I_,3,[3],39265,3707,96,96
I_gradual_I_,4,[4],39457,3515,96,96
I_gradual_I_,5,[5],39469,3503,96,96
I_gradual_I_,6,[6],39361,3611,96,96
I_gradual_I_,7,[7],39445,3527,96,96
I_gradual_I_,8,[8],39385,3587,96,96
I_gradual_I_,9,[9],39313,3659,96,96
I_gradual_I_,10,[10],39445,3527,96,96
I_gradual_I_,11,[11],39337,3635,96,96
I_gradual_I_,0,[0],39373,3599,96,96
I_gradual_I_,1,[1],39481,3491,96,96
I_gradual_I_,2,[2],39361,3611,96,96
I_gradual_I_,3,[3],39265,3707,96,96
I_gradual_I_,4,[4],39457,3515,96,96
I_gradual_I_,5,[5],39469,3503,96,96
I_gradual_I_,6,[6],39361,3611,96,96
I_gradual_I_,7,[7],39445,3527,96,96
I_gradual_I_,8,[8],39385,3587,96,96
I_gradual_I_,9,[9],39313,3659,96,96
I_gradual_I_,10,[10],39445,3527,96,96
I_gradual_I_,11,[11],39337,3635,96,96
