run,fold,test_bases,n_train_samples,n_test_samples,n_features_common_train,n_features_after_nan_train
D_abrupto_I_,0,[0],44946,4037,4,4
D_abrupto_I_,1,[1],44953,4030,4,4
D_abrupto_I_,2,[2],44979,4004,4,4
D_abrupto_I_,3,[3],44840,4143,4,4
D_abrupto_I_,4,[4],44811,4172,4,4
D_abrupto_I_,5,[5],44751,4232,4,4
D_abrupto_I_,6,[6],44879,4104,4,4
D_abrupto_I_,7,[7],44816,4167,4,4
D_abrupto_I_,8,[8],44971,4012,4,4
D_abrupto_I_,9,[9],44754,4229,4,4
D_abrupto_I_,10,[10],44929,4054,4,4
D_abrupto_I_,11,[11],45184,3799,4,4
D_abrupto_I_,0,[0],44946,4037,4,4
D_abrupto_I_,1,[1],44953,4030,4,4
D_abrupto_I_,2,[2],44979,4004,4,4
D_abrupto_I_,3,[3],44840,4143,4,4
D_abrupto_I_,4,[4],44811,4172,4,4
D_abrupto_I_,5,[5],44751,4232,4,4
D_abrupto_I_,6,[6],44879,4104,4,4
D_abrupto_I_,7,[7],44816,4167,4,4
D_abrupto_I_,8,[8],44971,4012,4,4
D_abrupto_I_,9,[9],44754,4229,4,4
D_abrupto_I_,10,[10],44929,4054,4,4
D_abrupto_I_,11,[11],45184,3799,4,4
